Gender;height(m);Weight
Male;1,74;96
Male;1,89;87
Female;1,85;110
Female;1,95;104
Male;1,49;61
Male;1,89;104
Male;1,47;92
Male;1,54;111
Male;1,74;90
Female;1,69;103
Male;1,95;81
Female;1,59;80
Female;1,92;101
Male;1,55;51
Male;1,91;79
Female;1,53;107
Female;1,57;110
Male;1,4;129
Male;1,44;145
Male;1,72;139
Male;1,57;110
Female;1,53;149
Female;1,69;97
Male;1,85;139
Female;1,72;67
Female;1,51;64
Male;1,9;95
Male;1,87;62
Female;1,63;159
Male;1,79;152
Male;1,53;121
Male;1,78;52
Female;1,95;65
Female;1,6;131
Female;1,57;153
Female;1,89;132
Female;1,97;114
Male;1,44;80
Female;1,71;152
Female;1,85;81
Female;1,75;120
Female;1,49;108
Male;1,57;56
Male;1,61;118
Female;1,82;126
Male;1,85;76
Female;1,88;122
Male;1,81;111
Male;1,61;72
Male;1,4;152
Female;1,68;135
Female;1,76;54
Male;1,63;110
Male;1,72;105
Male;1,96;116
Female;1,87;89
Male;1,72;92
Male;1,78;127
Female;1,64;70
Male;1,43;88
Female;1,91;54
Female;1,41;143
Male;1,93;54
Male;1,9;83
Male;1,75;135
Female;1,79;158
Female;1,72;96
Female;1,68;59
Female;1,64;82
Female;1,94;136
Female;1,53;51
Male;1,78;117
Male;1,41;80
Male;1,8;75
Female;1,85;100
Female;1,97;154
Male;1,65;104
Female;1,68;90
Female;1,76;122
Male;1,81;51
Male;1,64;75
Female;1,66;140
Female;1,9;105
Male;1,86;118
Male;1,68;123
Male;1,98;50
Female;1,75;141
Male;1,45;117
Female;1,59;104
Female;1,85;140
Female;1,78;154
Female;1,83;96
Female;1,94;111
Male;1,77;61
Male;1,97;119
Female;1,7;156
Male;1,42;69
Male;1,6;139
Male;1,95;69
Female;1,9;50
Male;1,99;156
Male;1,54;105
Male;1,61;155
Female;1,98;145
Female;1,92;140
Male;1,95;126
Male;1,66;160
Male;1,59;154
Female;1,81;106
Male;1,49;66
Female;1,5;70
Female;1,46;157
Male;1,9;135
Female;1,92;90
Female;1,77;96
Male;1,48;60
Female;1,65;57
Female;1,46;104
Male;1,44;108
Female;1,76;156
Female;1,68;87
Male;1,87;122
Male;1,87;138
Female;1,84;160
Female;1,58;149
Male;1,58;96
Male;1,94;115
Female;1,45;79
Male;1,82;151
Male;1,54;54
Female;1,68;139
Female;1,87;70
Female;1,58;153
Female;1,67;110
Female;1,71;155
Female;1,83;150
Female;1,9;156
Male;1,94;108
Male;1,71;147
Male;1,59;124
Female;1,69;54
Female;1,67;85
Male;1,8;149
Male;1,63;123
Male;1,4;79
Male;1,97;125
Male;1,94;106
Female;1,4;146
Male;1,95;98
Female;1,68;115
Female;1,96;50
Male;1,4;52
Female;1,5;60
Female;1,68;140
Female;1,55;111
Female;1,79;103
Female;1,82;84
Male;1,68;160
Female;1,87;102
Male;1,81;105
Male;1,99;99
Female;1,84;76
Male;1,92;101
Female;1,82;143
Female;1,72;111
Male;1,81;78
Male;1,76;109
Female;1,56;106
Female;1,51;67
Female;1,88;80
Male;1,87;136
Male;1,74;138
Male;1,67;151
Female;1,96;131
Male;1,97;149
Female;1,85;119
Female;1,7;102
Female;1,81;94
Female;1,66;126
Male;1,88;100
Female;1,62;74
Male;1,77;117
Male;1,62;97
Male;1,8;73
Female;1,92;108
Male;1,65;80
Female;1,67;135
Female;1,82;84
Female;1,61;134
Male;1,58;95
Male;1,41;85
Male;1,54;100
Male;1,65;105
Female;1,42;137
Male;1,41;94
Male;1,45;108
Male;1,57;74
Female;1,77;117
Female;1,66;144
Male;1,93;151
Male;1,84;57
Male;1,79;93
Female;1,56;89
Male;1,82;104
Male;1,45;160
Female;1,5;87
Male;1,45;99
Female;1,96;122
Male;1,91;96
Female;1,48;67
Female;1,5;84
Male;1,48;155
Female;1,53;146
Female;1,96;159
Female;1,85;52
Female;1,71;131
Female;1,43;118
Female;1,42;86
Female;1,41;126
Male;1,59;109
Female;1,73;82
Male;1,83;138
Female;1,52;90
Male;1,78;140
Male;1,88;54
Female;1,55;144
Male;1,66;70
Male;1,88;123
Female;1,71;120
Male;1,79;130
Female;1,86;137
Female;1,53;78
Female;1,84;86
Female;1,77;81
Male;1,45;78
Male;1,7;81
Male;1,81;141
Male;1,65;155
Female;1,74;65
Female;1,46;110
Male;1,78;85
Male;1,66;61
Male;1,91;62
Female;1,77;155
Female;1,83;50
Male;1,51;114
Male;1,82;98
Female;1,42;159
Female;1,88;90
Male;1,61;89
Male;1,53;70
Male;1,4;143
Male;1,69;141
Female;1,62;159
Male;1,83;147
Female;1,62;58
Female;1,72;109
Female;1,5;119
Female;1,69;145
Female;1,84;132
Male;1,59;104
Male;1,63;131
Male;1,56;137
Female;1,57;52
Male;1,47;84
Male;1,41;86
Male;1,73;139
Male;1,54;145
Male;1,68;148
Male;1,68;50
Male;1,45;130
Male;1,52;103
Female;1,87;121
Female;1,63;57
Male;1,78;83
Female;1,87;94
Female;1,79;114
Male;1,9;80
Male;1,72;75
Male;1,88;57
Male;1,93;65
Female;1,47;126
Female;1,47;94
Male;1,66;107
Female;1,92;139
Male;1,81;139
Male;1,5;74
Male;1,78;160
Female;1,56;52
Male;1,49;100
Male;1,56;74
Male;1,83;105
Female;1,62;68
Female;1,65;83
Female;1,68;143
Male;1,6;156
Female;1,69;88
Female;1,4;76
Female;1,87;92
Male;1,51;82
Female;1,86;140
Male;1,82;108
Male;1,88;81
Male;1,79;110
Female;1,56;126
Male;1,88;114
Male;1,83;153
Male;1,44;88
Male;1,96;69
Male;1,71;141
Male;1,71;147
Female;1,8;156
Male;1,91;146
Female;1,79;67
Female;1,8;60
Female;1,54;132
Male;1,88;99
Male;1,42;135
Male;1,7;95
Male;1,52;141
Female;1,9;118
Female;1,81;111
Male;1,53;104
Male;1,87;140
Female;1,44;66
Female;1,48;54
Female;1,99;92
Female;1,67;85
Female;1,64;71
Female;1,85;102
Female;1,64;160
Male;1,42;71
Male;1,65;68
Female;1,72;62
Female;1,57;56
Male;1,55;57
Female;1,67;153
Female;1,64;126
Female;1,89;125
Female;1,61;145
Female;1,55;71
Female;1,71;118
Female;1,54;92
Male;1,79;83
Male;1,7;115
Female;1,84;106
Female;1,91;68
Male;1,62;58
Male;1,78;138
Female;1,57;60
Male;1,84;83
Male;1,97;88
Female;1,6;51
Male;1,84;153
Male;1,9;50
Male;1,74;90
Female;1,89;124
Female;1,86;143
Female;1,8;58
Female;1,86;148
Female;1,93;61
Male;1,61;103
Female;1,51;158
Female;1,95;147
Female;1,84;152
Male;1,41;80
Female;1,85;94
Female;1,86;127
Male;1,42;131
Female;1,47;67
Male;1,51;62
Female;1,6;124
Male;1,85;60
Female;1,63;63
Male;1,74;95
Female;1,5;144
Male;1,42;91
Male;1,78;142
Female;1,54;96
Male;1,76;87
Male;1,59;120
Male;1,91;62
Male;1,77;117
Male;1,51;154
Female;1,82;149
Female;1,97;72
Male;1,46;138
Female;1,6;83
Female;1,57;66
Female;1,5;50
Female;1,67;58
Female;1,8;70
Female;1,83;76
Female;1,83;87
Female;1,52;154
Female;1,64;71
Male;1,87;96
Male;1,69;136
Female;1,49;61
Male;1,63;137
Female;1,95;104
Male;1,74;107
Male;1,82;70
Male;1,69;110
Male;1,93;130
Male;1,48;141
Male;1,86;68
Male;1,65;143
Female;1,46;123
Female;1,66;133
Male;1,79;56
Female;1,77;101
Male;1,81;154
Female;1,61;154
Female;1,57;103
Female;1,69;98
Female;1,52;114
Female;1,62;64
Male;1,62;130
Female;1,77;61
Female;1,95;61
Male;1,4;146
Female;1,86;146
Female;1,78;107
Male;1,74;54
Female;1,8;59
Male;1,88;141
Female;1,87;130
Female;1,53;77
Female;1,65;95
Female;1,78;79
Female;1,63;154
Female;1,5;97
Male;1,79;127
Male;1,65;62
Male;1,68;158
Female;1,53;133
Male;1,84;157
Male;1,88;65
Female;1,66;153
Female;1,72;116
Male;1,82;73
Male;1,43;149
Male;1,52;146
Female;1,86;128
Male;1,59;140
Male;1,46;70
Female;1,76;121
Female;1,46;101
Male;1,59;145
Male;1,62;157
Female;1,72;90
Female;1,69;121
Male;1,82;50
Female;1,83;79
Male;1,76;77
Female;1,88;128
Female;1,75;83
Male;1,54;81
Female;1,84;147
Male;1,79;123
Male;1,52;132
Male;1,79;56
Female;1,45;141
Female;1,81;80
Male;1,58;127
Female;1,88;99
Male;1,45;142
Male;1,61;115
Male;1,98;109
Male;1,47;142
Male;1,54;112
Female;1,78;65
Male;1,95;153
