Last Name;First Name;Height (m);Weight (kg)
Alcaraz;Carlos;1,8;88
Altmaier;Daniel;1,9;80
Andujar;Pablo;1,8;80
Auger-Aliassime;Felix;1,9;88
Baez;Sebastian;1,7;70
Basilashvili;Nikoloz;1,9;79
Bautista Agut;Roberto;1,9;81
Berankis;Ricardas;1,8;77
Berrettini;Matteo;2,0;95
Bonzi;Benjamin;1,8;82
Broady;Liam;1,8;78
Brooksby;Jenson;1,9;83
Bublik;Alexander;2,0;82
Cachin;Pedro;1,9;77
Carballes Baena;Roberto;1,8;77
Carreno Busta;Pablo;1,9;78
Cerundolo;Francisco;1,9;80
Cilic;Marin;1,8;75
Coria;Federico;1,8;73
Coric;Borna;1,9;85
Cressy;Maxime;2,0;84
Daniel;Taro;1,9;84
Davidovich Fokina;Alejandro;1,8;80
de Minaur;Alex;1,8;69
Dellien;Hugo;1,8;75
Dimitrov;Grigor;1,8;69
Djere;Laslo;1,9;82
Djokovic;Novak;1,9;77
Draper;Jack;1,9;85
Duckworth;James;1,8;82
Elahi Galan;Daniel;1,9;72
Evans;Daniel;1,8;75
Federer;Roger;1,9;85
Fognini;Fabio;1,8;79
Fritz;Taylor;2,0;86
Fucsovics;Marton;1,9;82
Garin;Cristian;1,9;85
Gasquet;Richard;1,8;79
Gaston;Hugo;1,7;68
Giron;Marcos;1,8;77
Goffin;David;1,8;70
Griekspoor;Tallon;1,9;85
Halys;Quentin;1,9;85
Harris;Lloyd;1,9;80
Huesler;Marc-Andrea;2,0;86
Humbert;Ugo;1,9;73
Hurkacz;Hubert;2,0;81
Isner;John;2,1;108
Ivashka;Ilya;1,9;86
Johnson;Steve;1,9;86
Karatsev;Aslan;1,9;85
Kecmanovic;Miomir;1,8;75
Khachanov;Karen;2,0;87
Koepfer;Dominik;1,8;79
Kokkinakis;Thanasi;1,9;84
Korda;Sebastian;2,0;79
Krajinovic;Filip;1,9;75
Kubler;Jason;1,8;74
Kudla;Denis;1,8;79
Kwon;Soonwoo;1,8;72
Kyrgios;Nick;1,9;85
Laaksonen;Henri;1,9;78
Lajovic;Dusan;1,8;83
Lehecka;Jiri;1,9;81
Lestienne;Constant;1,8;77
Majchrzak;Kamil;1,8;78
Mannarino;Adrian;1,8;79
Martin Etcheverry;Tomas;2,0;82
Martinez;Pedro;1,9;76
McDonald;Mackenzie;1,8;73
Medvedev;Daniil;2,0;83
Millman;John;1,8;79
Molcan;Alex;1,8;73
Monfils;Gael;1,9;85
Monteiro;Thiago;1,8;78
Moutet;Corentin;1,8;71
Munar;Jaume;1,8;76
Murray;Andy;1,9;82
Musetti;Lorenzo;1,9;78
Nadal;Rafael;1,9;85
Nakashima;Brandon;1,9;84
Nishikori;Kei;1,8;73
Nishioka;Yoshihito;1,7;64
Norrie;Cameron;1,9;82
Opelka;Reilly;2,1;102
Otte;Oscar;1,9;79
Pablo Varillas;Juan;1,9;77
Paire;Benoit;2,0;80
Paul;Tommy;1,9;82
Popyrin;Alexei;2,0;78
Pospisil;Vasek;1,9;88
Ramos-Vinolas;Albert;1,9;76
Rinderknech;Arthur;2,0;88
Rublev;Andrey;1,9;75
Rune;Holger;1,9;77
Ruud;Casper;1,8;77
Ruusuvuori;Emil;1,9;79
Schwartzman;Diego;1,7;64
Seppi;Andreas;1,9;78
Shapovalov;Denis;1,9;75
Sinner;Jannik;1,9;76
Sock;Jack;1,9;88
Sonego;Lorenzo;1,9;76
Sousa;Joao;1,9;74
Struff;Jan-Lennard;1,9;92
Tabilo;Alejandro;1,9;75
Thiem;Dominc;1,9;79
Tiafoe;Frances;1,9;86
Tomic;Bernard;2,0;91
Tseng;Chun-Hsin;1,8;65
Tsitsipas;Stefanos;1,9;90
van de Zandschulp;Botic;1,9;85
Verdasco;Fernando;1,9;90
Vesely;Jiri;2,0;94
Wawrinka;Stan;1,8;81
Wolf;J.J.;1,8;77
Ymer;Mikael;1,8;75
Zapata Miralles;Bernabe;1,8;79
Zverev;Alexander;2,0;90
